,getScholarshipId,getScholarshipTitle,getProviderId,getProviderName,getProviderLogoSquareCdn,getProviderIsUniversity,getDescriptionOfDestinationCountryRestrictions,getDescriptionOfBenefits,getDescriptionOfDeadline,getIsNotSpecifiedDeadline,getDescriptionOfProviderLocation,getScholarshipVirtualName,getEligibility,getSupportedCountry,getOverall,getLink
395,4059,ASEAN Scholarship,11996,University of Tasmania,//storage-prtl-co.imgix.net/mp/5de0e63bf581.png,True,Australia,Various benefits,Anytime,False,"Hobart, Australia",asean-scholarship,"A Canadian citizen, Permanent Resident or Protected Person [under subsection 95(2) of the Immigration and Refugee Protections Act (Canada)] at the time of the OGS application deadline date.
International students who are studying in Ontario with a student study permit under the Immigration and Refugee Protection Act (Canada) are eligible for the allotted international student award.
Within their standard program length (normally four years of full-time study, or equivalent) for a doctoral student.
Enrolled or plan to enrol in a full-time program of study at Ontario Tech for the academic year following the year of application that leads to a graduate degree and is approved for operating grant purposes by the ministry.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4059/asean-scholarship.html
396,1646,Deakin International Scholarship,11000,Deakin University ,,True,Australia,Various benefits,Not specified,True,"Burwood, Australia",deakin-international-scholarship,"The recipient must maintain a minimum cumulative grade point average of 3.0 and must be enrolled as a full-time undergraduate student.
All full-time admitted students will be considered by the Committee on Admissions.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1646/deakin-international-scholarship.html
397,2323,SP Jain School of Global Management - Postgraduate Merit Scholarships,130,"SP Jain School of Global Management, Australia",,False,Australia,Various benefits,Not specified,True,,sp-jain-school-of-global-management-postgraduate-merit-scholarships,"Be enrolled or intending to enrol at CQUniversity in Term 1, in one of the following courses:
Certificate IV 
Diploma 
Advanced Diploma, Associate Degree
Bachelor Degree
Bachelors Honors Degree, Graduate Certificate, Graduate Diploma
Masters Degree
Doctoral Degree
Be commencing the course for the first time.
Be enrolled internally at either Cairns, Mackay. Ooralea, Rockhampton North, or Bundaberg campuses.
Be enrolled with a full-time term study load (18 credit points or more) in Term 1 and Term 2.
Be enrolled at Census date in Term 1.
Reside in a regional area at the commencement of and during the study period.
Not be receiving any other CQUniversity Scholarship.
Maintain a valid student visa for the duration of their scholarship.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2323/sp-jain-school-of-global-management-postgraduate-merit-scholarships.html
398,3964,SNU Global Scholarship,11776,Seoul National University,,True,South Korea,Various benefits,Anytime,False,"Anyang, South Korea",snu-global-scholarship,"To be eligible, applicants must:
Be an International Student
Have undertaken:
An undergraduate or postgraduate (Master) coursework articulation pathway qualification from an approved partner institution; or
Completed the UNSW Foundation Studies Commerce or Commerce Actuarial stream prior to commencing study at UNSW; and
Have achieved academic excellence in the relevant program of study at the pathway partner institution or in the eligible UNSW Foundation Studies Stream; and
Not have previously undertaken any other tertiary studies prior to commencing study at UNSW (undergraduate applicants); and
Must have received an offer of admission and be commencing in any UNSW undergraduate (single/dual) or postgraduate (Master) coursework degree program offered by UNSW Business School by Tuesday 30 November(excluding any program offered by AGSM in Term 3). This must include one of the following:
Undergraduate or Postgraduate Letter of Offer (unconditional)
Undergraduate or Postgraduate Conditional English Package Offer (UEEC) - students must be enrolled in the UNSW Institute of Languages and successfully complete the program prior to commencing studies.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3964/snu-global-scholarship.html
399,3711,The University of Adelaide College High Achiever Progression Scholarship,11456,University of Adelaide,,True,Australia,Various benefits,Anytime,False,"Adelaide, Australia",the-university-of-adelaide-college-high-achiever-progression-scholarship,Candidates of any nationality who are self-funded or partially sponsored to a maximum of 50%.,226 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/3711/the-university-of-adelaide-college-high-achiever-progression-scholarship.html
400,2908,RMIT Vietnam Alumni Postgraduate Scholarship,11792,RMIT University,,True,Australia,Various benefits,Not specified,True,"Melbourne, Australia",rmit-vietnam-alumni-postgraduate-scholarship,"First-time applicants: International students who hold bachelor’s or master’s degrees from universities abroad (including dual-degree program students) applying for admission to our graduate programs as full-time students 
Scholarship recipients applying for an extension: Enrolled students may apply for the renewal of the scholarship for their next year of graduate study at the end of their first academic year.Who are already receiving other forms of financial aid from NTUST or the R.O.C government (Exceptions to this regulations may be granted to students who receive research stipends or work-study payments or financial aid provided under special agreements signed with NTUST.)
Who are concurrently enrolled at NTUST and another university in Taiwan or who engage in full-time paid employment in the R.O.C.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/2908/rmit-vietnam-alumni-postgraduate-scholarship.html
401,113,International Stand Out Scholarship,11887,Bond University,,True,Australia,Various benefits,Anytime,False,"Gold Coast, Australia",international-stand-out-scholarship,"As a Civic University we are looking for students who are committed to making a difference, who will take the learning and experience gained on their degree to make a positive impact in their communities internationally.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/113/international-stand-out-scholarship.html
402,1515,English Language Scholarship,11164,Macquarie University,,True,Australia,Various benefits,Anytime,False,"Sydney, Australia",english-language-scholarship,Female candidates with outstanding academic excellence during their bachelor studies.,225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1515/english-language-scholarship.html
403,2711,Graduate University of Michigan Scholarship,11758,University of Michigan,,True,United States,Various benefits,Not specified,True,"Ann Arbor, United States",graduate-university-of-michigan-scholarship,"be from a Black, Asian, or minority ethnic background.
be a UK student (English, Scottish, Welsh, or Northern Irish) paying fees of £9,250 and have a UK Student Support Number. 
pay for your course yourself, including through a student loan or a payment from your parents. Your course fees must not be paid by a business, charity or other organisation. 
have a household income of £25,000 or less.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2711/graduate-university-of-michigan-scholarship.html
404,3957,Vice Chancellor's International Excellence Scholarship,12190,University of South Australia,,True,Australia,Various benefits,Not specified,True,"Adelaide, Australia",vice-chancellors-international-excellence-scholarship,The scholarships are open to all current UL students or those who are applying to come to UL for the first time either through CAO or transferring at undergraduate or postgraduate level.,11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3957/vice-chancellors-international-excellence-scholarship.html
405,293,Olivine Stephenson Graduate Scholarship,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",olivine-stephenson-graduate-scholarship,"Students currently at Warwick in the first year of their eligible Double Degree.
The award is conditional upon progression to Part II of the course.
Students currently at Warwick on a single MA who intend to transfer to an eligible Double Degree.
The award is conditional upon progression to Part II of the course.
The award is conditional upon transfer to an eligible Double Degree.
Candidates may apply concurrently to other funding sources; however, successful candidates who receive major funding elsewhere will be disqualified.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/293/olivine-stephenson-graduate-scholarship.html
406,2614,Australia Awards,12190,University of South Australia,,True,Australia,Various benefits,Not specified,True,"Adelaide, Australia",australia-awards,"Must have studied at least one semester (Master's level) or two semester's (Bachelor's level) within a degree programme that is taught on campus at Dalarna University.
Must be continuing the same degree programme for at least one more semester of full-time study.
Must have acheived at least 50% results of VG or 5 depending on the grading scale used.
Must be verified as ""outstanding"" by the faculty in your programme.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2614/australia-awards.html
407,1190,Jarmila Vlasta Von Drak Thouvenelle Graduate Scholarship,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",jarmila-vlasta-von-drak-thouvenelle-graduate-scholarship,"The applicant must be a CSUN undergraduate or graduate student enrolled in 6.1 units or more.
The applicant must have a minimum 2.8 cumulative GPA and maintain a minimum 2.8 if awarded.
The applicant must have a visual disability and provide verification from a medical health professional that includes the best corrected visual acuity notations. The disability must be such that it impedes the educational process and necessitates accommodations, support services, or programs.
Students who have previously been nominated and/or awarded the Schoettler scholarship may continue to apply each year they meet the qualifications.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1190/jarmila-vlasta-von-drak-thouvenelle-graduate-scholarship.html
408,2128,Merit Scholarships for International Students,16964,Manipal Academy of Higher Education,,True,India,Various benefits,Not specified,True,"Udipi, India",merit-scholarships-for-international-students,"Be currently enrolled in 6.1 units or more as a CSU undergraduate or graduate student in any major field and must remain enrolled in 6.1 units or more during the academic year in which the award is received
Currently have a minimum cumulative GPA of 2.8 on a 4.0 scale (and must maintain a minimum GPA of 2.8 on a 4.0 scale during the academic year in which the award is received).
Have a visual disability and provide verification from a medical health professional, which includes the best corrected visual acuity notations. (Please note that the disability must be such that it impedes the educational process and necessitates accommodations, support services, or programs.)
Students who have previously been nominated and/or awarded the Schoettler scholarship may continue to apply each year they meet the qualifications.",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2128/merit-scholarships-for-international-students.html
409,522,Scholarship for Christian Young People,1144,Óbuda University,,True,Hungary,Various benefits,Not specified,True,"Budapest, Hungary",scholarship-for-christian-young-people,"Undergraduate degree not from core-STEM subjects.
Students from an under-represented background (e.g. female, black, disabled, low socio-economic background)
Nationality or residency status that meets the postgraduate masters’ loan criteria.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/522/scholarship-for-christian-young-people.html
410,144,CDU Global Merit Scholarship,10703,Charles Darwin University,,True,Australia,Various benefits,Anytime,False,"Darwin, Australia",cdu-global-merit-scholarship,"Full-time enrolment in a PGDip or Masters of 120 points or more, excluding masters by thesis, or
An undergraduate degree (with overseas secondary or post-secondary qualifications) by new full fee paying international students.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/144/cdu-global-merit-scholarship.html
411,4627,Partner University Scholarship,522,MCI - The Entrepreneurial School®,//storage-prtl-co.imgix.net/mp/5de0e8776312.png,True,Austria,Various benefits,Not specified,True,"Innsbruck, Austria",partner-university-scholarship,"Applicants must currently have a minimum cumulative GPA of 2.8 on a 4.0 scale and must maintain a minimum GPA of 2.8 on a 4.0 scale during the academic year in which the award is received.
Applicants must be currently enrolled in 6.1 units or more as a CSU undergraduate or graduate student in any major field and must remain enrolled in 6.1 units or more during the academic year in which the award is received.
Applicants must have a visual disability.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4627/partner-university-scholarship.html
412,2881,Macquarie University Alumni Scholarship,11164,Macquarie University,,True,Australia,Various benefits,Not specified,True,"Sydney, Australia",macquarie-university-alumni-scholarship,"Offer to study a taught Masters course within:
Department of Classics
Department of Earth Sciences
Department of Economics
Department of English
Department of Geography
Department of Health Studies
Department of History
Department of Law and Criminology
Department of Politics, International Relations and Philosophy
Department of Psychology
Department of Social WorkAchieved, or on target to achieve, a First Class Honours degree or equivalent
Able to demonstrate financial need (i.e. unable to undertake further study without the financial support of the scholarship)
Studying for first Masters degree.",225 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/2881/macquarie-university-alumni-scholarship.html
413,94,UC International Merit Scholarship,11174,University of Canberra,//storage-prtl-co.imgix.net/endor/organisations/11174/logos/sq-11174.png,True,Australia,Various benefits,Not specified,True,"Canberra, Australia",uc-international-merit-scholarship," Offer to study a Masters degree within: 
Department of Classics
Department of Earth Sciences
Department of Economics
Department of English
Department of Geography
Department of Health Studies
Department of History
Department of Languages, Literatures and Cultures
Department of Law and Criminology
Department of Mathematics
Department of Physics
Department of Politics, International Relations and Philosophy
Department of Psychology
Department of Social Work
Achieved, or on target to achieve, a First Class Honours degree or equivalent.",226 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/94/uc-international-merit-scholarship.html
414,715,Strathclyde Alumni Scholarship: Postgraduate Taught,249,University of Strathclyde,,True,United Kingdom,Various benefits,Anytime,False,"Glasgow, United Kingdom",strathclyde-alumni-scholarship-postgraduate-taught,"Candidates displaying outstanding student leadership experiences during their bachelor’s study, specifically with regards to taking leadership initiatives in student clubs, student government, volunteer projects, international conferences, and during bachelor’s internships.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/715/strathclyde-alumni-scholarship-postgraduate-taught.html
415,1226,Uandes Economic Scholarship,13159,University of the Andes,,True,Chile,Various benefits,29 Jan 2025,False,"Bogotá, Colombia",uandes-economic-scholarship,"Must be a new Honors College student with financial needs.
Must demonstrate exceptional potential.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1226/uandes-economic-scholarship.html
416,3706,Goldsmiths Alumni Fee Waiver,521,"Goldsmiths, University of London",,True,United Kingdom,Various benefits,Not specified,True,"London, United Kingdom",goldsmiths-alumni-fee-waiver,"You must hold an offer to study a full-time, part-time or online taught master's course at one of UAL's Colleges and Institutes starting in 2024/25.
Your course must offer either a Grad Dip, M ARCH, MA, MBA, MFA, MRes or MSc qualification.
You are not eligible to apply if you already hold a UK postgraduate taught qualification (or one at an equivalent level) from studies undertaken in the UK.
You need to qualify for the Overseas category of tuition fee status.
You have achieved, or are predicted to achieve, an upper second-class honours degree or above at undergraduate level. 
You are able to support your application with a satisfactory personal reference from an academic or professional referee. Your reference must be provided in English.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3706/goldsmiths-alumni-fee-waiver.html
417,1008,WMG Excellence Scholarships,183,University of Warwick,,True,United Kingdom,Various benefits,Not specified,True,"Coventry, United Kingdom",wmg-excellence-scholarships,"You will be judged on your creativity, communication & presentation of your purpose, academic merit, and financial need.
The scholarship is valid for all September 2024 Intake students studying in any program in the UK, USA, Ireland or Canada!",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1008/wmg-excellence-scholarships.html
418,972,Postgraduate Academic Excellence Scholarship,11945,University of Wollongong,,True,Australia,Various benefits,Anytime,False,"Wollongong, Australia",postgraduate-academic-excellence-scholarship,"be a full-time professor at a Canadian post-secondary institution.be a Designated Learning Institution  (DLI).be located in one of the following ELAP-eligible countries
Caribbean: Anguilla, Antigua and Barbuda, Bahamas, Barbados, Belize, Bermuda, British Virgin Islands, Cayman Islands, Cuba, Dominica, Dominican Republic, Grenada, Guyana, Haiti, Jamaica, Montserrat, Saint Kitts and Nevis, Saint Lucia, Saint Vincent and the Grenadines, Suriname, Trinidad and Tobago, Turks and Caicos
Central America: Costa Rica, El Salvador, Guatemala, Honduras, Nicaragua, Panama
North America: Mexico
South America: Argentina, Bolivia, Brazil, Chile, Colombia, Ecuador, Paraguay, Peru, Uruguay, Venezuela",11 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/972/postgraduate-academic-excellence-scholarship.html
419,732,UWE Alumni Scholarship,150,University of the West of England (UWE Bristol),//storage-prtl-co.imgix.net/mp/5de0e6f9dae1.png,True,United Kingdom,Various benefits,Not specified,True,"Bristol, United Kingdom",uwe-alumni-scholarship,"Algeria: Licence / Diplôme CGPA of 14 out of 20 or higher.
China: 70% overall or higher from Project 211/985 universities;  75% overall from non-211/985 universities.
England: UK degree 2:1.
France: 10 out of 20 for Grande École; 12 out of 20 for other universities.
Taiwan: CGPA of 70 - 85% depending on the University.
United States of America: CGPA of 3.2 out of 4 or higher.
For any other country, find contact details for your regional team to request the eligibility criteria for your country or contact the university.",11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/732/uwe-alumni-scholarship.html
420,313,International Student Grant,11757,The Ohio State University,,True,United States,Various benefits,Not specified,True,"Upper Arlington, United States",international-student-grant,The Scholarships are open to full-time Home and International students pursuing an undergraduate or postgraduate degree course at the Claude Littner Business School.,Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/313/international-student-grant.html
421,3930,International Merit Scholarship,12190,University of South Australia,,True,Australia,Various benefits,Not specified,True,"Adelaide, Australia",international-merit-scholarship,"Scholarship seekers should be strong candidates for ESMT's Master program and display outstanding achievement by submitting a GMAT, GMAT Focus or GRE percentile rank higher than 94%, equivalent to a GMAT score of at least 720 or a GMAT Focus score of at least 675.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/3930/international-merit-scholarship.html
422,2369,VU International Scholarship,12028,Victoria University,,True,Australia,Various benefits,Not specified,True,"Melbourne, Australia",vu-international-scholarship,A motivational essay explaining why you are the perfect candidate for the scholarship should accompany your application for admission to the master program.,Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2369/vu-international-scholarship.html
423,374,John and Myrtle Tilley Graduate Scholarship,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",john-and-myrtle-tilley-graduate-scholarship,Candidates must have attended the DigitalFuture Summit (DFS) conference and been admitted for the master program within two years following their participation. ,226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/374/john-and-myrtle-tilley-graduate-scholarship.html
424,110,UC International Alumni Scholarship,11174,University of Canberra,//storage-prtl-co.imgix.net/endor/organisations/11174/logos/sq-11174.png,True,Australia,Various benefits,Not specified,True,"Canberra, Australia",uc-international-alumni-scholarship,"Net Impact @ESMT Berlin offers future master students who have been highly committed to the cause of sustainability an opportunity to apply for this scholarship.
In addition, active involvement in Net Impact @ESMT Berlin is expected from recipients during their master studies.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/110/uc-international-alumni-scholarship.html
425,4626,MCI Global Scholarship,522,MCI - The Entrepreneurial School®,//storage-prtl-co.imgix.net/mp/5de0e8776312.png,True,Austria,Various benefits,Not specified,True,"Innsbruck, Austria",mci-global-scholarship,"Open to candidates from countries that are impacted by currency devaluation.
The evaluation will be based on the candidate’s profile and country of origin in addition to a personal statement.
International students accepted into the 1st year of the Bachelor in Management or Master in Management.
French & International students accepted into any of our Master of Science programmes.
French & International students accepted into our iMBA.",11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/4626/mci-global-scholarship.html
426,2565,Goldsmiths Excellence Fee Waiver,521,"Goldsmiths, University of London",,True,United Kingdom,Various benefits,Not specified,True,"London, United Kingdom",goldsmiths-excellence-fee-waiver,"High-profile candidates who have a strong academic record.
Special consideration is given to applicants who have clear academic and professional merit and can demonstrate the ability to contribute to all aspects of the programme.",225 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/2565/goldsmiths-excellence-fee-waiver.html
427,176,The Martlet Chapter IODE Graduate Scholarship for Women,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",the-martlet-chapter-iode-graduate-scholarship-for-women,"Open to all 1 year, 180 credit taught Master’s programme students.
Open to International full tuition fee paying students only.
Available for exceptional students undertaking one year Masters’ programmes.  A report is required at the end of the academic year.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/176/the-martlet-chapter-iode-graduate-scholarship-for-women.html
428,3274,Scientific Scholarships,486,University of Porto,,True,Portugal,Various benefits,Not specified,True,"Porto, Portugal",scientific-scholarships,"Successful candidates must have completed a semester- or year-long exchange or Study Abroad programme at UCD by the time that they apply for a full-degree programme at UCD. 
Successful candidates must not have obtained a degree at UCD previously.
Scholarships are only open to self-funding candidates. 
Eligible programmes are limited to graduate taught programmes, where the student must be based in Dublin and no part of the programme is awarded by another institution.
Candidates must confirm the Scholarship award with UCD Global before commencing studies in UCD Dublin. The Scholarship award will not be applied to the student’s account after teaching term for applicable period commences.  ",226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3274/scientific-scholarships.html
429,354,Commonwealth Scholarship Commission Awards (Various),271,UCL,//storage-prtl-co.imgix.net/mp/5de0e80a9062.png,True,United Kingdom,Various benefits,Not specified,True,"London, United Kingdom",commonwealth-scholarship-commission-awards,"have accepted an offer for a full- or part-time undergraduate or postgraduate course,
have competed at a minimum of national level (junior or senior) in the past 12 months, or show strong evidence of the potential to do so.be enrolled full- or part-time on an undergraduate or postgraduate course,
have competed at a minimum of national level (junior or senior) in the last 12 months, or show strong evidence of the potential to do so.",Any,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/354/commonwealth-scholarship-commission-awards.html
430,3075,Robert W. Ford Graduate Scholarships,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",robert-w-ford-graduate-scholarships,"studying for a full-time undergraduate degree at a recognised UK university;
the child, spouse, widow or widower of a commercial traveller, pharmacist or grocer; and
in ‘financial need’.",225 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/3075/robert-w-ford-graduate-scholarships.html
431,2826,Queen's Loyalty Scholarship,513,Queen's University Belfast,//storage-prtl-co.imgix.net/endor/organisations/513/logos/sq-513.png,True,United Kingdom,Various benefits,Not specified,True,"Belfast, United Kingdom",queens-loyalty-scholarship,"The scholarship is only available for the named programme in the offer letter and beginning in September 2024 or January 2025. 
Scholarships are non-transferable.
Students must be studying on campus on a full-time postgraduate taught degree, for a minimum of 2 semesters. 
Applicants must be international fee payers and must be self-funding (see note 1) for at least 100% of tuition fee. 
The Postgraduate Merit Scholarship is valid for first year of tuition fees. 
Excellent work experience and/or portfolio will be considered in addition to grades. 
Eligible applicants must have applied and meet set entry criteria. An interview may be required. 
Scholarships will not be awarded to deferred applications.
On commencing studies at the University, scholarship holders will be contacted by the University’s Communications, Marketing and Student Recruitment Team (CMSR), and be required to periodically participate in marketing activity that includes (but is not limited to) video and photography content creation, blog commentary, supporting recruitment events.",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/2826/queens-loyalty-scholarship.html
432,1408,Departmental Grants & Scholarships,12335,University of Denver,,True,United States,Various benefits,Not specified,True,"Denver, United States",departmental-grants-scholarships,The Scholarship is open to full-time Home and International students pursuing an undergraduate or postgraduate Composition degree course at the London College of Music.,11 nations,International students are an integral part of the community. They provide opportunities for financial awards to promising international students to help make their college education in the United States more accessible.,https://www.mastersportal.com/scholarships/1408/departmental-grants-scholarships.html
433,1288,Jarmila Vlasta Von Drak Thouvenelle Co-op Scholarships,12137,University of Victoria,,True,Canada,Various benefits,Anytime,False,"Victoria, Canada",jarmila-vlasta-von-drak-thouvenelle-co-op-scholarships,The Scholarship is open to full-time Home and International students at the University of West London pursuing an undergraduate or postgraduate degree course.,11 nations,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/1288/jarmila-vlasta-von-drak-thouvenelle-co-op-scholarships.html
434,661,Japanese Government Scholarship Students,1229,Osaka University,,True,Japan,Various benefits,Not specified,True,"Osaka-shi, Japan",japanese-government-scholarship-students,The Scholarship is open to full-time Home and International students pursuing an undergraduate or postgraduate degree course at the London College of Music.,226 nations,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/661/japanese-government-scholarship-students.html
435,307,International Student Academic Excellence Scholarship,11992,Griffith University,//storage-prtl-co.imgix.net/endor/organisations/11992/images/1706303494_gu_international_social-icon_white-on-red_square-1.png,True,Australia,Various benefits,Not specified,True,"Nathan, Australia",international-student-academic-excellence-scholarship,The Scholarships are open to full-time Home and International students pursuing an undergraduate or postgraduate degree course.,Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/307/international-student-academic-excellence-scholarship.html
436,168,Aalto University Scholarship programme,18,Aalto University,,True,Finland,Various benefits,Not specified,True,"Helsinki, Finland",aalto-university-scholarship-programme,"The International Office Postgraduate Taught Scholarship award is exclusively for new international students.
Students must hold an offer for a place on a full-time postgraduate taught programme at the Queen’s University Belfast campus, starting in the academic year 2024/25 and prior to commencement of study have met any academic and language conditions attached to their offer as stated in their offer letter.
Students must be classified as international fee-paying students paying the full international tuition fee rate in order to be considered for this discount. Students paying NI or GB fees are not eligible for the International Office Postgraduate Taught Scholarship.",Any,They want as many bright minds as possible to benefit from a University education. Which is why they offer one of the most generous scholarship programs in the country. Find out how you can achieve your full potential and make your mark on the world.,https://www.mastersportal.com/scholarships/168/aalto-university-scholarship-programme.html
437,95,Family Loyalty Discount,122,University of Leicester,//storage-prtl-co.imgix.net/mp/5de0e65f7df3.png,True,United Kingdom,Various benefits,Anytime,False,"Leicester, United Kingdom",family-loyalty-discount,"be an international student 
hold a conditional or unconditional offer from Southampton 
be studying on an undergraduate or postgraduate programme in chemistry or chemical engineering
Required to pay the overseas tuition fee ",Any,"The University is seeking ambitious, intelligent, and talented students and offers them various scholarship opportunities for full-time Bachelor´s and Master´s degree studies.",https://www.mastersportal.com/scholarships/95/family-loyalty-discount.html
