title,author,description,criteria,amount,location,supported_country,deadline,study,inclusion,number_of_awards,link
Going Global-Science And Technology With European Partners,Association of Universities and Colleges of Canada,"Enable Canadian university researchers and professors to explore, establish, or consolidate projects with partners in Europe.",,Variable,Canada,Unrestricted,March 1,Canada,Please see website for more information,20-25,https://www.internationalscholarships.com/scholarships/71/
Goshen College Tuition Grants and International Academic Scholarships,Goshen College,To enable needy international students to get a college education at Goshen College and to attract and reward bright and talented international students.,,"$7,350",United States,Unrestricted,February 1,United States,partial tuition,25,https://www.internationalscholarships.com/scholarships/326/
Fight For Sight Grants-In-Aid,Fight For Sight Inc.,"To fund pilot studies by ophthalmology and vision researchers who have finished their postdoctoral studies within the last three years so they may apply for larger, Federal and private foundation grants.",We support and inspire eye and vision research by funding promising scientists early in their careers.  Our awards facilitate initial research so that individuals may apply for larger Federal and private foundation grants.,"$20,000",Canada and United States,Unrestricted,March 1,Canada and United States,Please see website for more information.,10-15,https://www.internationalscholarships.com/scholarships/576/
Franklin Mosher Baldwin Memorial Fellowship,The LSB Leakey Foundation,"Two year fellowship to for students seeking advanced training towards an M.A. or Ph.D. or equivalent in the field of anthropology-specifically related to studies that lead to an understanding of human origins such as paleoanthropology, archaeology, and primatology.","Only scholars with citizenship in an African country are eligible, and you must have a sponsor at your home institution and a host sponsor at the institution where your studies will take place.","$12,000",Unrestricted,Unrestricted,February 15,Unrestricted,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/573/
M.W. Welch International Scholarship,M.W. Welch Foundation,To encourage international cooperation by spending a year in a lab studying vacuum science techniques and applications,,"$15,000 USD",Unrestricted,Unrestricted,April 30,Unrestricted,research expenses,1,https://www.internationalscholarships.com/scholarships/61/
L.S.B. Leaky Foundation General Grants,L.S.B. Leaky Foundation,"Currently, the Foundation primarily funds field and museum research to advanced doctoral students as well as established scientists studying in the field of Anthropology -- specifically related to studies that lead to an understanding of human origins such as paleoanthropology, archaeology, and primatology.",Advanced doctoral students as well as established scientists are eligible for general research grants. High school and undergraduate college students are not eligible. There are no citizenship restrictions.,"up to $22,000 USD",United States,Unrestricted,July 15; January 5,United States,,Variable,https://www.internationalscholarships.com/scholarships/572/
Frank Knox Memorial Fellowships Programs,Association of Universities and Colleges of Canada,For graduate study at Harvard University.,,"$13,000",United States,"Australia, New Zealand and United Kingdom",February 1,United States,"Tuition, health insurance in addition to stipend",2,https://www.internationalscholarships.com/scholarships/55/
Kenza Foundation Scholarships,Fondation Kenza - Institut de France,"The Kenza Foundation is supporting students studying Arts and History of Art at prestigious universities in Paris. Scholarship for each student is up to €10,000 for the academic year 2011/2012.","In order to be eligible, you have to meet the following criteria:  You are less than 28-years old, citizen or legal permanent resident or national of France as of 1st January 2011, and are studying at one of the four following institutions: Ecole du Louvre, University Paris IV, Paris III and Paris I Sorbonne (History of Art or Arts), Ecole Nationale des Beaux Arts de Paris.  You must be an undergraduate or graduate student enrolling for the first-time outside France for full-time graduate or undergraduate studies. PhD students and post-doctorate students who receive a stipend from their university are ineligible.","10,000 euros",Unrestricted,France,December 15,Unrestricted,Amount is determined by jury based on total cost in country of study. Maximum award is 10.000 euros.,4,https://www.internationalscholarships.com/scholarships/1841/
Lerner-gray Fund For Marine Research,American Museum of Natural History,"Support projects in marine zoology with emphasis on systematics, evolution, ecology, and field-oriented behavior.",,"$500 and $2,000 USD",Unrestricted,Unrestricted,March 15,Unrestricted,"Travel, living expenses, and expendable supplies.",Variable,https://www.internationalscholarships.com/scholarships/304/
Francois Fiessinger Ph.D. Scholarship,Environmental Research and Education Foundation (EREF),This scholarship supports the work of outstanding students interested in excellence in environmental/waste research and science.,Are currently or will be this year a full-time Ph.D. student; have a clearly demonstrated interest in environmental/waste research.,"$12,000",Unrestricted,Unrestricted,Postmarked by September 1,Unrestricted,"Tuition, etc.",2,https://www.internationalscholarships.com/scholarships/813/
Kenneth Galbraith Fellowship,Instituto Franklin- UAH,Instituto Franklin- UAH announces Kenneth Galbraith Fellowship to tackle Economic Studies related to the United States.,The fellowship holder must state the received aid in the publications derived from the research during the scholarship period.,"1,600 euro",Spain,Unrestricted,March 16,Spain,"600€- accommodation, 200€- transportation, 100€- fungible materials, 100€- computer support, 600€- books",1,https://www.internationalscholarships.com/scholarships/1837/
Mackenzie King Traveling Scholarships,Mackenzie King Scholarships Board,"Scholarship open to graduates of any Canadian university who engage in (commence or continue) postgraduate study, in the United States or the United Kingdom, of international relations or industrial relations (including the international or industrial relations aspects of law, history, politics and economics)",,"$10,000 Canadian Dollars",United Kingdom and United States,Canada,February 1,United Kingdom and United States,Travel Scholarship,4,https://www.internationalscholarships.com/scholarships/45/
GCA Interchange Fellowship,Garden Club of America and English-Speaking Union,"To foster British-American relations through the interchange of scholars in horticulture, landscape architecture and related fields.",,Variable,United States,Unrestricted,November 15,United States,Stipend,2,https://www.internationalscholarships.com/scholarships/300/
George Reinke Scholarships,American Society of Travel Agents,For students enrolled at a proprietary travel school or junior college.,,"$1,500",United States,United States,July 31; December 18,United States,Please see website for more information,2,https://www.internationalscholarships.com/scholarships/555/
MIT Portugal Program: M.SC. In Complex Transportation Infrastructure Systems,MIT Portugal Program,"The Complex Transport Infrastructure Systems (CTIS) program is unique, bringing together the tradition and rigor of a Master in Engineering with the insights of an MBA. The CTIS course builds on three key domains: engineering, management and financing; policy and regulation in a blend.","Applications to the CTIS program are welcome by those holding 5-year degrees or Bologna 1st-cycle degrees (typically 3-year degrees). However, holders of 5-year degrees will be given preference in the review process. Additionally, work experience will be taken into account in the review process.","15,000 euros per year",Portugal,Unrestricted,March 31,Portugal,Tuition only. In extraordinary circumstances a stipend may be available for scholarship grantees.,6,https://www.internationalscholarships.com/scholarships/1576/
MIT Portugal Program: PhD In Transportation Systems,MIT Portugal Program,"The PhD program in Transportation Systems (TR SYS) is designed to prepare students for transportation-related careers in academia, including teaching and advanced research, as well as professional practice careers in both public and private sectors. Upon completion of the program, students will be intellectual leaders within their chosen fields and organizations.","Applicants to the PhD program are evaluated in several different ways. Critical portions of the online application include trans (grades from prior study), previous experience (professional, research, and academic), letters of recommendation (references), motivation letter (statement of purpose), and the GRE.","17,000 euros per year",Portugal,Unrestricted,February 28,Portugal,"Tuition, stipend, some costs of relocation to Portugal",8,https://www.internationalscholarships.com/scholarships/1575/
Fellowship Grant through the bibliographical Society of America,Bibliographical Society of America,To support bibliographical inquiry as well as research in the history of the book trades and in publishing history.,,$2000 per month,Unrestricted,Unrestricted,December 1,Unrestricted,"Travel, living expenses, research expenses.",10 - 20,https://www.internationalscholarships.com/scholarships/295/
MIT Portugal Program: Phd In Sustainable Energy Systems,MIT Portugal Program,"The SES Doctoral Program (PhD) is a three- to four-year course which uses a multi-disciplinary approach to educate a new generation of sustainability-aware leaders with expertise in energy systems and economics. A focus on energy system design and analysis, research, and leadership and entrepreneurship provides graduates with the tools to be at the forefront of sustainable energy systems development.","All candidates must demonstrate that they have adequate scientific capabilities to be engaged in a course in this area (i.e., sufficient previous coursework in the sciences, academic papers, etc.)","17,000 euros per year",Portugal,Unrestricted,February 28,Portugal,"Tuition, stipend, some costs of relocation to Portugal",8,https://www.internationalscholarships.com/scholarships/1574/
MIT Portugal Program: Leaders For Technical Industries (doctoral Program In Engi,MIT Portugal Program,"The Leaders for Technical Industries program will train a new generation of leaders for companies with a technological profile, and enable a new European paradigm in managing product development and production systems.  Students participating in this program will have the ability to foster the innovative application of new knowledge in successful products and/or processes.","Recent graduates in engineering aiming at developing a career in technical or production management, with 2-3 years of practical experience. Typical background (5 years) will be mechanical eng., materials/polymer eng., electronic eng., industrial eng. and chemical eng.. Industrial experience of candidates will be a preferential selection criterion.","17,000 euros per year",Portugal,Unrestricted,February 28,Portugal,"Tuition, stipend, some costs of relocation to Portugal",8,https://www.internationalscholarships.com/scholarships/1573/
MIT Portugal Program: PhD In Bio Engineering,MIT Portugal Program,"The MIT Portugal Program, a collaboration between MIT and eight Portuguese universities, offers PhD and Executive Masters programs in Portugal with MIT faculty support.","These educational programs are intended to educate students in bio-engineering technical innovation, with a strong emphasis on the specific emerging technologies targeted to complement and enhance existing Portuguese biosciences and technologies.","17,000 euros per year",Portugal,Unrestricted,February 28,Portugal,"Tuition, stipend, some relocation to Portugal",8,https://www.internationalscholarships.com/scholarships/1572/
Feodor-lynen Research Fellowships,Alexander von Humboldt Foundation (AvH),Alexander von Humboldt Foundation (AvH) has 200 Feodor-Lynen Research Fellowships that are granted annually to highly qualified German scholars - not more than 38 years of age - for the conduct of research at home institutions of recipients of Humboldt fellowships and prizes around the world. The sponsorship period lasts for 1-4 years.,German scholars in all disciplines. Must have PhD.,Variable,Unrestricted,Unrestricted,Unrestricted,Unrestricted,"Assistance is available for travel, accompanying spouse, expatriation, health insurance and supplies.",200,https://www.internationalscholarships.com/scholarships/791/
Master Erasmus Mundus In European Literary Cultures-cle,EU funded,The ERASMUS MUNDUS PROGRAMME is a co-operation and mobility program in the field of higher education. It aims to promote intercultural understanding through co-operation with NON-European countries,"During the full-time program (24 months), European and non-European students will spend terms in two or three different consortium universities and at the end of the Master Course they will obtain a double or multiple degree.",students: 42.000/two-year course - scholars: 13.000 euros/3 mont,"France, Greece and Italy",Italy,January 10,"France, Greece and Italy","For Students: Tuition, travel and living expenses for the full duration of the course.  For scholars: Travel and living expenses for a three-month working assignment. They have to provide their own insurance cover.",Variable,https://www.internationalscholarships.com/scholarships/1568/
Monmouth University Fellowship,Monmouth University,To award graduate students who show that they have the potential to be successful at Monmouth University.,,"$2,400-$4,000 USD",United States,Unrestricted,August 1,United States,Tuition,Variable,https://www.internationalscholarships.com/scholarships/535/
Memphis College Of Art Tuition Scholarships,Memphis College of Art,For tuition assistance.,,"$2,000 USD",United States,Unrestricted,Variable,United States,Tuition,100,https://www.internationalscholarships.com/scholarships/534/
Vanier Canada Graduate Scholarships,"SSHRC, CIHR, and NSERC","The Vanier Canada Graduate Scholarships (Vanier CGS) program is designed to attract and retain world-class doctoral students by offering them a significant financial award to assist them during their studies at Canadian universities. Vanier Scholars demonstrate leadership skills and a high standard of scholarly achievement in the social sciences and humanities, natural sciences and engineering, and health-related fields.","To be nominated for a Vanier Canada Graduate Schlarship, a student must:    be nominated by a Canadian university with a Vanier CGS quota;   be seeking support to pursue their first PhD (or equivalent);   be pursuing doctoral studies (or a combined masters/PhD degree); or   have not already received a scholarship or fellowship from SSHRC, NSERC or CIHR to undertake or complete a doctoral degree or combined masters/PhD degree;   not be pursuing a degree program that combines undergraduate and graduate degrees; and   be a Canadian citizen, permanent resident or international student eligible for nomination for a Vanier CGS.","$50,000 per year for 3 years",Canada,Unrestricted,November 9,Canada,This level of funding will provide successful candidates with significant freedom to pursue and complete doctoral studies that will lead to the growth of the global knowledge base.,165 per year,https://www.internationalscholarships.com/scholarships/1813/
General Motors Foundation Graduate Scholarships,Society of Women Engineers (SWE),"To stimulate women to achieve full potential in careers as engineers and leaders, and to expand the image of the engineering profession as a positive force in improving the quality of life while demonstrating the value of diversity.Can be used at SWE-approved schools or ABET programs",,"$1,000",Unrestricted,Unrestricted,February 1,Unrestricted,Unrestricted grant,2,https://www.internationalscholarships.com/scholarships/277/
University Of Virginia Woodson Institute Predoctoral Fellowship,University of Virginia,"The predoctoral fellows must be in residence at the University of Virginia for the duration of the award period. Fellows are expected to participate in the series of workshops held during the academic year and to present their work periodically to the larger academic community. Fellows may accept no employment, fellowships, or consulting obligations during the Woodson fellowship period without the approval of the Director.",,"$20,000",United States,Unrestricted,December 1,United States,Stipend plus health insurance,1,https://www.internationalscholarships.com/scholarships/521/
University Of Virginia Woodson Institute Postdoctoral Fellowship,University of Virginia,The fellowship is open to qualified candidates without restriction as to citizenship or current residence. Post doctoral applicants must have been awarded their Ph.D. no earlier than 2006.,,"$45,000",United States,Unrestricted,December 1,United States,Stipend,N/A,https://www.internationalscholarships.com/scholarships/520/
MSA Outstanding Young Investigator Award,Microscopy Society of America,Scholarship is for undergraduate research for juniors or seniors pursuing a career in microscopy.,,"$2,500 USD",Unrestricted,United States,December 15,Unrestricted,,Variable,https://www.internationalscholarships.com/scholarships/518/
"Postdoctoral SSRC Fellowships On Conflict, Peace And Social Transformations",Committee on Int. Peace and Security and Social Science Research Council,"To support innovative and interdisciplinary postdoctoral research on the implications for peace and security issues of worldwide cultural, social, economic, military and political changes.",,"up to $37,500 USD",United States,Unrestricted,Variable,United States,Stipend,Variable,https://www.internationalscholarships.com/scholarships/255/
Chosun University Graduate Research Scholarship,Chosun University,"Graduate Fellowship at the Mobile Computing Lab, Chosun University, Gwangju, South Korea","High GPA, programming skills, English language ability",tuition and expenses,"Korea, South",Unrestricted,February 17,"Korea, South",tuition and living expenses,2,https://www.internationalscholarships.com/scholarships/2045/
Sigurd T. Olson Loon Research Award,Sigurd Olson Environmental Institute,"One-time award for graduate students to research the biology, ecology, management, and education about the common loon and its habitat.",,Variable,United States,Unrestricted,Unrestricted,United States,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/504/
Historically Black College And Universities,Schiller International University,Fifty one-quarter tuition awards available to students who attend or graduated from any one of the 64 Historically Black Colleges and Universities in the United States. This award is available for one or two semesters and applies to any campus of Schiller International University.,,One quarter of tuition,"France, Germany, Spain, Switzerland, United Kingdom and United States",United States,Unrestricted,"France, Germany, Spain, Switzerland, United Kingdom and United States",Tuition only,50,https://www.internationalscholarships.com/scholarships/1511/
Gustav Von Struve Award,Schiller International University,30 one-quarter tuition awards for new Germany citizen students only who show financial need. This award is valid for one or two semesters at any of the campuses of Schiller International University,,One quarter of tuition,"France, Germany, Spain, Switzerland, United Kingdom and United States",Germany,Unrestricted,"France, Germany, Spain, Switzerland, United Kingdom and United States",Tuition only,30,https://www.internationalscholarships.com/scholarships/1510/
Grants and Scholarships for Schiller International University,Schiller International University,To help assist students with educational costs.,,Variable,United States,Unrestricted,April 1,United States,Tuition,Variable,https://www.internationalscholarships.com/scholarships/739/
"Presidential Scholarships, Anna Filley Scholarship, Dhillon Award",Edinboro University of Pennsylvania,To enhance student participation in study abroad programs offered by Edinboro University,,"$500-$2,000 USD",United States,Unrestricted,April,United States,,8,https://www.internationalscholarships.com/scholarships/741/
Postdoctoral And Senior Fellowships,"Smithsonian Institution, Office of Fellowships and Grants","To encourage access to the Smithsonians collections, staff specialties and reference resources by visiting scholars, scientists and students.",,"$25,000 USD",United States,Unrestricted,January 15,United States,Stipend plus allowances,Variable,https://www.internationalscholarships.com/scholarships/220/
New Zealand Film Grant,From the Heart Productions,"The New Zealand film grant is for all residents of New Zealand. If you are a resident living abroad, you can enter but you must film in New Zealand. This grant is goods and services from heart-felt companies who want to see documentaries made on film that ""are unique and make a contribution to society"". You will own the rights to this film. From the Heart Productions requests a producer credit and a ""thank you credit"" on the film to all of the donors, individually.","To apply for the film grant, go to the applications page and complete it being sure to attach a full outline of the film you want to make, it can be a minimum of 2 pages with no maximum. If you have produced any film, send that on VHS, if not, send us something your cameraman has made on VHS. Mail your application, overview and tapes with a check for $38.00NZ made out to From the Heart Productions.",Variable,Unrestricted,New Zealand,April 30,Unrestricted,"Goods and services including film stock, equipment, and more.",1,https://www.internationalscholarships.com/scholarships/988/
Graduate Prestigious Fellowships,Fordham University,To work with individual students from the Graduate School of Arts and Sciences to establish application strategies for appropriate fellowships and to improve the students application for prestigious and distinguished awards.,,Variable,United States,Unrestricted,Unrestricted,United States,"Tuition, stipend.",Variable,https://www.internationalscholarships.com/scholarships/731/
University of Bari PhD Studentship In Mathematics Reserved To Foreign Students,University of Bari - Apulian Region,The Doctoral Program in Mathematics is centered on an interdisciplinary perspective. The program covers seven main areas  1. Analysis;  2. Algebra;  3. Geometry;  4. Mathematical Physics;  5. Probability;  6. Numerical Analysis and Scientific Computation;  7. Mathematics for Finance;  and the students have to work in one of these areas. Candidates are also  expected to complete a thesis within this period.,,13.638 euros,Italy,Unrestricted,December 22,Italy,,3,https://www.internationalscholarships.com/scholarships/2008/
Plenum Scholarship,Special Libraries Association,"The Plenum Scholarship will be granted for graduate study leading to a Ph.D. from a recognized program in library science, information science or related fields of study.",,"$1,000 USD",United States,Unrestricted,October 31,United States,Unrestricted grant,1,https://www.internationalscholarships.com/scholarships/214/
Chosun University Post-doctoral Fellowship,"SOC Design Lab, Chosun University",Research Areas  1) Circuit/ASIC/SOC design for Communication / Bio-medical signal processing or  2) Algorithm development (using C or MATLAB) for Communication / Bio-medical signal processing,"An applicant and his/her parents must have foreign citizenship and come under each of the following:  1)	Graduated (Ph. D) in the major fields related to    Electronic Eng. Computer Science Eng., Information and Communication Eng., or IT related Eng",Variable,"Korea, South",Unrestricted,Variable,"Korea, South",,1,https://www.internationalscholarships.com/scholarships/2006/
North Central College International Student Scholarship,North Central College,"Undergraduate international student applicants are considered for merit-based partial-tuition scholarships ranging from $10,000 to $15,000, renewable for up to three years. No graduate scholarships are available.",Undergraduate applicants to North Central are considered based on: 1.  Academic records. 2.  TOEFL score (minimum 520/68) 3.  Quality of students essay. 4.  Letters of recommendation.,"from $10,000 to $15,000 USD",United States,Unrestricted,Rolling,United States,Up to approximately half the cost of tuition.,10,https://www.internationalscholarships.com/scholarships/723/
The NUS PhD-MBA Scholarship,National University of Singapore,Call for Applications - The NUS PhD-MBA     For entrepreneurial students - Full scholarships available    The NUS PhD-MBA aims to attract and train talented students who have the potential to create and lead technology companies.,"Students with an undergraduate or Masters/Diploma degree in any scientific, engineering, maths or IT discipline, previously awarded",Variable,Singapore,Unrestricted,November 15,Singapore,"PhD tuition fees, MBA tuition fees, stipend",Variable,https://www.internationalscholarships.com/scholarships/2000/
Society Of Naval Architects And Marine Engineers Graduate Scholarships Program,Society of Naval Architects and Marine Engineers,Awards available at the graduate level to encourage men and women to pursue studies in naval architect or marine engineering.,,Variable,Unrestricted,Unrestricted,February 1,Unrestricted,Please see website for more information.,Variable,https://www.internationalscholarships.com/scholarships/205/
National Art Materials Trade Association Scholarship,National Art Materials Trade Association,Award for an employee or relative of a National Art Materials Trade Association member.,,"$1,000 USD",Unrestricted,Unrestricted,April 1,Unrestricted,,3,https://www.internationalscholarships.com/scholarships/204/
Pine Manor College Presidential Scholarship,Pine Manor College,To award higher achieving students and enable them to pursue their undergraduate studies at Pine Manor College.,,"$8,000 USD",United States,Unrestricted,May 15,United States,Tuition,10,https://www.internationalscholarships.com/scholarships/712/
Olivia James Traveling Fellowship,Archaeological Institute of America,"Fellowship for PhD candidates or recent recipients of their PhD.  The award is to be used for travel and archaeological study in Greece, the Aegean Islands, Sicily, Southern Italy, Asia Minor or Mesopotamia.",Applicant must be a U.S. citizen.,"$25,000 USD","Cyprus, Greece, Italy, Syria and Turkey",Unrestricted,November 1,"Cyprus, Greece, Italy, Syria and Turkey",Travel and study expenses,1,https://www.internationalscholarships.com/scholarships/706/
The Workum Fund,SIT,"The Workum Fund provides scholarship assistance for participants in SIT Study Abroad programs to the Indian subcontinent (India, Nepal, and Tibetan Studies programs).",,Variable,India and Nepal,Unrestricted,Unrestricted,India and Nepal,,Variable,https://www.internationalscholarships.com/scholarships/958/
HBCU Packard Scholarship,SIT,"In order to help increase the number of minorities who are leaders in the sciences, this scholarship provides funding for science majors from Historically Black Colleges and Universities (HBCUs) who participate in SIT Study Abroad programs and pursue a science-oriented Independent Study Project. Applicants must be nominated by a science faculty member.",Student Eligibility    Student of color enrolled in an Historically Black College or University (HBCU)   Science major with potential to pursue graduate study in the sciences   Minimum GPA 2.5   At least one year of undergraduate coursework at the time of application   Requirements    Students must be nominated by a science faculty member.   Students must propose and complete a science-oriented Independent Study Project that he/she will present to faculty and peers upon his/her return.   Nomination forms and complete student applications must be received by April 15 for fall semester and October 15 for spring,Variable,Unrestricted,Unrestricted,Unrestricted,Unrestricted,Variable,Variable,https://www.internationalscholarships.com/scholarships/957/
Educational Testing Service Postdoctoral Fellowship Award Program,Educational Testing Service,To provide research opportunities to individuals who hold a doctorate in the fields indicated above and to increase the number of women and minority professionals conducting research in educational measurement and related fields,,"$35,000 USD for the 12-month",United States,Unrestricted,February 1,United States,Stipend,3,https://www.internationalscholarships.com/scholarships/700/
SIT The Compton Fund,SIT,"The Compton Fund was established to provide scholarships to undergraduate students participating in SIT programs with environmental, peace studies, or sustainable development themes. Particular emphasis will be given to students representing U.S. minority groups.",,Variable,Unrestricted,Unrestricted,Unrestricted,Unrestricted,,Variable,https://www.internationalscholarships.com/scholarships/955/
International Call Of Doctoral Scholarships 2011,CIE Campus Moncloa,"Call of 14 Grants for Scolarships and Standardized Contracts (4 years) for the performance of PhDs marked by at least two practising doctors from the two associated Universities, the UCM and the UPM, and/or by doctors from the other associated Institutions within the context of the Campus Moncloa in these areas: Global Change and New Energies, Materials for the Future, Agri-food and Health, Innovative Medicine, and Heritage.",More information:   www.campusmoncloa.es/en/calls/picata/international-call-doctoral-scholarships-2011.php,18000 Euros,Spain,Unrestricted,October,Spain,Unrestricted,14,https://www.internationalscholarships.com/scholarships/1977/
Post-Doctoral Fellowships In Hellenic Studies,Princeton University,"Fellowships are normally awarded annually on a competitive basis to young scholars in Hellenic Studies, with a special emphasis on Byzantine and/or Modern Greek Studies.",,"$17,000 USD/semester",United States,Unrestricted,January 1,United States,Unrestricted grant.,8,https://www.internationalscholarships.com/scholarships/185/
Drake University Presidential Community College Scholarships,Drake University,To recognize outstanding academic performance of community college transfer students,,"$4,500 USD",United States,Unrestricted,Rolling,United States,"Tuition, housing",65,https://www.internationalscholarships.com/scholarships/434/
New England College Grants,New England College,To assist financially needy students to attend New England College.,,Variable,United States,Unrestricted,Variable,United States,Tuition,Variable,https://www.internationalscholarships.com/scholarships/695/
PPGA Family Member Scholarship,Bedding Plants Foundation,To fund floriculture research and education to improve plant production for the benefit of people and the environment.,,"$500 to $2,000 USD",United States,Unrestricted,May 1,United States,Unrestricted grant,1,https://www.internationalscholarships.com/scholarships/688/
International Student Grants at The College of Wooster,The College of Wooster,"All international (Non-US) applicants are eligible for Wooster Grant.  The grant is limited to non-US citizens enrolling as first-year, degree-seeking students to The College of Wooster only. It is not available for students studying at other institutions or to students who wish to pursue graduate studies at another institution.",,Variable,United States,Unrestricted,February 15; November 1,United States,"Tuition, room, and board expenses",Variable,https://www.internationalscholarships.com/scholarships/178/
GSBA MBA Eng. Full Tuition Scholarship,Graduate School of Business Administration,"GSPA scholarships are for MBA English program granted to foreign students, financial support needed to promote international understanding and scholarly fraternity.",Foreign applicants must have entrance and interview exams. A qualified candidate must have GPAs of at least 3.0 (undergraduate) (out of 4).,"$ 8,334",Thailand,Unrestricted,November,Thailand,The full tuition is waived throughout the program.,3,https://www.internationalscholarships.com/scholarships/1967/
IMT Institute For Advanced Studies Lucca PhD Scholarships,IMT Institute for Advanced Studies,"PhD programs in: computer science and engineering economics, markets and institutions management, development of cultural heritage institutions and politics and policies.",,"13,600 euros",Italy,Italy,September 28,Italy,"Housing, meals",26,https://www.internationalscholarships.com/scholarships/1963/
Publication Subvention Grant,Archaeological Institute of America,"Supports publication of new book-length volumes in the field of Classical Archaeology (defined as Greek, Roman, and Etruscan archaeology and art history).","Particularly welcome are projects that publish the work of first-time authors or represent the publication of final reports of primary data from sites already excavated or surveyed, but are still unpublished.","$5,000 USD (may vary)",Unrestricted,Unrestricted,March 1; November 1,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/1444/
Programa De Assistencia Estudiantil (PASE),Southwest Texas State University,To encourage students from Mexico with limited financial resources to enroll in Texas public institutions of higher education,,Variable,United States,Mexico and United States,Rolling,United States,Waiver for nonresidents tuition,20,https://www.internationalscholarships.com/scholarships/681/
Publications Preparation Grant,Archaeological Institute of America,To support scholars in completing and publishing archaeological field research in a peer-reviewed outlet,"Grant awarded over 2-year period.  Intended to assist in final analysis and writing of results of field research so that completed manu may be submitted for publication at year of 2nd year.  Open to graduate students and postdoctoral professionals, applicants must be members of the AIA at time of application.","$5,000 USD",Unrestricted,Unrestricted,November 1,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/1442/
Oncology Nursing Society Grant,"Sigma Theta Tau, International honor Society of Nursing",To encourage the research career development of nurses through support of oncology clinically-oriented research.,"Registered nurse actively involved in some aspect of cancer patient care, education or research
    Earned master's degree
    Preference will be given to Sigma Theta Tau International members, other qualifications being equal.","$10,000 USD",United States,Unrestricted,December 1,United States,Research expenses,1,https://www.internationalscholarships.com/scholarships/418/
Nicholls State University Graduate Assistantship Program,Nicholls State University,To assist highly qualified international and US graduate students to pursue an advanced degree.,,$500 USD per month,United States,Unrestricted,Variable,United States,"Tuition, health insurance, stipend",75,https://www.internationalscholarships.com/scholarships/672/
Nicholls State University Waiver Of Out-of-state Fees,Nicholls State University,To assist gifted international and US graduate students to finance their education.,,"$2,602 USD",United States,Unrestricted,Variable,United States,Tuition,Variable,https://www.internationalscholarships.com/scholarships/671/
Nestlé Scholarship For Women,Nestlé,"All women are eligible for this IMD scholarship of CHF 20,000 towards tuition and living expenses.",The criteria are:    i)   Gaining acceptance into the IMD MBA.  ii)  Demonstrating financial need.  iii) Submitting an essay (maximum 750 words) on Diversity in Management.,"CHF 20,000",Switzerland,Unrestricted,September 30,Switzerland,"CHF 20,000 towards tuition and living expenses.",1,https://www.internationalscholarships.com/scholarships/921/
The Von-muralt-lo Scholarship,IMD,"Two participants from China / Hong Kong are selected each year to receive a scholarship of CHF 25,000 each towards tuition fees.","The criteria are:  i)  Gaining acceptance into the IMD MBA.  ii)  Providing evidence of financial need.  iii) Submitting a 500 word essay on:  Why do you believe you are the most qualified to win the Mr. & Mrs F. Peter von Muralt-Lo IMD MBA Scholarship and how will you, post the IMD MBA, further contribute to China/Hong Kong.","CHF 25,000",Switzerland,China and Hong Kong (SAR),September 30,Switzerland,,2,https://www.internationalscholarships.com/scholarships/920/
International Award Of Navarra,Foro Europeo - The Business School of Navarra,The Award covers 50% of the tuition fee of the program: Master of International Business Administration that is entirely in English,"Interested students must have: a bachelor degree, proficiency in English, interest in the Spanish language, pass the entry exam.","6,950 Euros",Spain,"Australia, British Virgin Islands and United Kingdom",July; November,Spain,Part of tuition Fee (50%).,2,https://www.internationalscholarships.com/scholarships/1942/
IMD MBA Future Leaders Scholarships,IMD,Three scholarships are awarded each year to candidates who demonstrate leadership understanding through an essay competition.,Candidates who have already applied to the full-time IMD MBA program and who demonstrate exceptionally strong leadership potential,"30,000 CHF",Switzerland,Unrestricted,September 30,Switzerland,,2,https://www.internationalscholarships.com/scholarships/918/
Vlerick Leuven Gent Management School The Deans Fund,Vlerick Leuven Gent Management School,Payment of part or all of tuition fees for international students to follow MBA or masters programs at the Vlerick Leuven Gent Management School.,Application procedure is described in our website.,Variable,Belgium,Unrestricted,March 31,Belgium,Full or partial payment of tuition fees.,25,https://www.internationalscholarships.com/scholarships/901/
International Presidential Scholarship at Ashland University,Ashland University,"To recognize international student scholars who have solid financial backing, and are encouraged to attend Ashland University.","A grade-point-average of at least 3.00/4.00. SAT1 scores, while not required, will allow consideration for larger award (up to $8,000/yr)","$4,000-$8,000/year",United States,Unrestricted,July 1; November 1,United States,Partial tuition reduction,Variable,https://www.internationalscholarships.com/scholarships/144/
New England-China Scholarship Program,New England Board of Higher Education,"The New England-China Scholarship Program provides the opportunity for New England students to spend up to one year abroad in China, studying at one of 49 eligible institutions. The competitively awarded scholarships will cover tuition and fees and are available to undergraduate and graduate students from New England colleges and universities (public or independent).",Students preferably need to attend a New England institution. We might also consider New England residents studying at a non-New England college or university.,Variable,China,United States,Rolling,China,Tuition and Fees,9,https://www.internationalscholarships.com/scholarships/1661/
Nicholas Appert Award,Institute of Food Technologists,This award honors a person for pre-eminence and contributions to the field of food science and technology.,,"$5,000 USD",Unrestricted,Unrestricted,December 1,Unrestricted,,1,https://www.internationalscholarships.com/scholarships/375/
